HIV,42,2200670,hiv
HIV Asymptomatic,V08,2214827,hiv
HIV Encephalopathy,42,2216035,hiv
HIV Nephropathy,42,2216955,hiv
HIV Or AIDS In Preg Antepartum,647.63,2222274,hiv
HIV Or AIDS In Preg Postpartum,647.64,2222275,hiv
HIV Positive,42,2216000,hiv
HIV Serology Nonspecific,795.71,2211651,hiv
HIV Type2 Infection NOS,79.53,2200949,hiv
HIV W AIDS,42,2216001,hiv
Dementia From HIV,42,2219448,hiv
Dementia From HIV w Behave Problem,42,2219449,hiv
Facial Ids w hiv(Facial Lipodystrophy Syndrome W HIV),272.6,2224370,hiv
Facial Lipodystrophy Syndrome W HIV,272.6,2224370,hiv
Wasting Syndrome From HIV,799.4,2216995,hiv
Adenocarcinoma of endocetvix(Ca Endocervix),180,2201707,cervicalca
Ca Cervix,180.9,2201710,cervicalca
Ca Cervix Hiqh Risk,V15.89,2217855,cervicalca
Ca Cervix Multiple Sites,180.8,2201709,cervicalca
Ca Cervix Pers Hx,V10.41,2214870,cervicalca
Ca Endocervix,180,2201707,cervicalca
Ca Exocervix,180.1,2201708,cervicalca
Ca In Situ Cervix,233.1,2202417,cervicalca
Ca In Situ Cervix Pers Hx,V10.41,2221550,cervicalca
Ca in situ endocervix(Ca In Situ Endocervical),233.1,2223109,cervicalca
DES Exposure When Was Fetus Not Preq Now,V15.89,2220908,des
DES When Preq Mom Was Fetus,V23.89,2220599,des
Fetal DES Toxicity Via Placenta,760.76,2210349,des
Immunosuppressed State NOS,279.3,2219434,immuno-deficiency
Ca Transplanted Kidney,199.2,2223950,Kidney
Kidney transplant(Renal Transplant),V42.00,2215199,Kidney
Kidney Transplant Complication,996.81,2214671,Kidney
Kidney Transplant Rejection,396.81,2214672,Kidney
Post Transplant Lymphoprolif Dis Kidney,238.77,2223764,Kidney
Renal Transplant,V42.00,2215199,Kidney
Aftercare Following Heart Transplant,V58.44,2222503,Heart
Ca Transplanted Heart,199.2,2223946,Heart
Cad cabg transplanted heart(CAD Of Bypass Graft Transplanted Heart),414.07,2220231,Heart
CAD Of Bypass Graft Transplanted Heart,414.07,2220231,Heart
CAD Of Transplanted Heart,414.06,2218397,Heart
Heart Lung Transplant,V42.1,2216679,Heart
Heart Transplant,V42.1,2215200,Heart
Heart Transplant Complication,996.83,2214675,Heart
Heart Transplant Rejection,996.83,2214676,Heart
Post Transplant Lymphoprolif Dis Heart,238.77,2223762,Heart
Aftercare Following Lung Transplant,V58.44,2222507,Lung
Ca Transplanted Lung,199.2,2223948,Lung
Double Lung Transplant,V42.6,2216678,Lung
Heart Lung Transplant,V42.1,2216679,Lung
Lung Liver Transplant,V42.6,2216680,Lung
Lung Transplant,V42.6,2215205,Lung
Lung Transplant Complication,996.84,2214677,Lung
Lung Transplant Rejection,996.84,2214678,Lung
Post Transplant Lymphoprolif Dis Lung,238.77,2223761,Lung
Intestinal complication s/p transplant(lntestinal Transplant Complication),996.87,2217081,Intestine
Intestinal Transplant Complication,996.87,2217081,Intestine
Intestine Transplant,V42.84,2217130,Intestine
Intestine Transplant Complication,996.87,2217129,Intestine
Aftercare Following Liver Transplant,V58.44,2222330,Liver
Ca Transplanted Liver,199.2,2223949,Liver
Liver Transplant,V42.7,2215206,Liver
Liver Transplant Bile Leak,996.82,2216152,Liver
Liver Transplant Complication,996.82,2214673,Liver
Liver Transplant Rejection,996.82,2214674,Liver
Lung Liver Transplant,V42.6,2216680,Liver
Post Transplant Lymphoprolif Dis Liver,238.77,2223763,Liver
Aftercare Following Pancreas Transplant,V58.44,2222511,Pancreas
Ca Transplanted Pancreas,199.2,2223944,Pancreas
Pancreas Transplant,V42.83,2215209,Pancreas
Pancreas Transplant Complication,996.86,2214681,Pancreas
Pancreas Transplant Rejection,996.86,2214682,Pancreas
Post Transplant Lymphoproli Dis Pancreas,238.77,2223759,Pancreas
Aftercare Post Bone Marrow Transplant,V58.44,2222509,Bone Marrow
Bone Marrow Transplant Allogeneic,V42.81,2216307,Bone Marrow
Bone Marrow Transplant Autoloqous,V42.81,2216308,Bone Marrow
Bone Marrow Transplant Complication,996.85,2214679,Bone Marrow
Bone Marrow Transplant Match Unrelated,V42.81,2216309,Bone Marrow
Bone Marrow Transplant Recipient,V42.81,2215207,Bone Marrow
Bone Marrow Transplant Syngeneic,V42.81,2216310,Bone Marrow
Organ Transplant NOS,V42.9,2215211,Organ
Organ Transplant NOS Complication,996.8,2214668,Organ
Organ Transplant NOS Rejection,996.8,2214669,Organ
Immunodeficiency Common Variable   ,279.06,2203020,immuno-deficiency
Human immunodeficiency virus type 2(Infection HIV Type 2),79.53,2200949,hiv
Immunodeficiency T Cell Mediated,279.1,2203022,immuno-deficiency
Immunodeficiency Humoral,279,2203014,immuno-deficiency
Immunodeficiency Combined Severe SCID,279.2,2218689,immuno-deficiency
Immunodeficiency Combined,279.2,2203031,immuno-deficiency
